Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Caio Borralho,Caio Borralho,Makhmud Muradov,0-0,19-14,1-2,2-0,Middleweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Nikita Krylov,Nikita Krylov,Volkan Oezdemir,0-0,57-42,7-1,1-0,Light Heavyweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Abubakar Nurmagomedov,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,0-0,40-38,1-1,0-0,Welterweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Armen Petrosyan,Armen Petrosyan,AJ Dobson,0-0,118-58,0-3,0-0,Middleweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Muhammad Mokaev,Muhammad Mokaev,Malcolm Gordon,0-0,21-17,6-1,1-1,Flyweight,SUB-Armbar,3,4:26
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Karol Rosa,Karol Rosa,Lina Lansberg,0-1,54-36,3-0,0-0,Women's Bantamweight,M-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Alexa Grasso,Alexa Grasso,Viviane Araujo,0-0,153-126,0-2,0-0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Jonathan Martinez,Jonathan Martinez,Cub Swanson,2-0,62-51,0-1,0-0,Bantamweight,KO/TKO-Kick,2,4:19
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Dusko Todorovic,Dusko Todorovic,Jordan Wright,0-0,61-25,0-3,0-1,Middleweight,KO/TKO-Elbows,2,3:12
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Raphael Assuncao,Raphael Assuncao,Victor Henry,0-0,60-55,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Alonzo Menifield,Alonzo Menifield,Misha Cirkunov,1-0,8-5,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,1:28
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Mana Martinez,Mana Martinez,Brandon Davis,2-0,87-76,1-1,0-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Jacob Malkoun,Jacob Malkoun,Nick Maximov,0-0,83-34,9-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Joanderson Brito,Joanderson Brito,Lucas Alexander,0-0,4-1,2-0,1-0,Featherweight,SUB-Rear-Naked-Choke,1,2:02
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Piera Rodriguez,Piera Rodriguez,Sam Hughes,0-0,83-69,5-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Tatsuro Taira,Tatsuro Taira,CJ Vergara,0-0,22-19,3-0,2-0,Flyweight,SUB-Armbar,2,4:19
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Pete Rodriguez,Pete Rodriguez,Mike Jackson,1-0,22-10,0-0,0-0,Welterweight,KO/TKO-Knee,1,1:33
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Yan Xiaonan,Yan Xiaonan,Mackenzie Dern,0-0,113-61,0-2,0-2,Women's Strawweight,M-DEC,5,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Randy Brown,Randy Brown,Francisco Trinaldo,1-0,60-40,0-1,1-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Raoni Barcelos,Raoni Barcelos,Trevin Jones,1-0,73-11,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Sodiq Yusuff,Sodiq Yusuff,Don Shainis,0-0,9-3,0-0,1-0,Featherweight,SUB-Guillotine-Choke,1,0:30
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Mike Davis,Mike Davis,Viacheslav Borshchev,0-0,65-63,9-0,1-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Daniel Santos,Daniel Santos,John Castaneda,1-1,69-57,2-3,0-0,Catch Weight,KO/TKO-Knee,2,4:28
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Ilir Latifi,Ilir Latifi,Aleksei Oleinik,0-0,38-28,3-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Joaquim Silva,Joaquim Silva,Jesse Ronson,1-0,45-39,0-0,0-0,Lightweight,KO/TKO-Flying-Knee,2,3:08
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Brendan Allen,Brendan Allen,Krzysztof Jotko,0-0,3-3,1-0,1-0,Middleweight,SUB-Rear-Naked-Choke,1,4:17
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Chelsea Chandler,Chelsea Chandler,Julija Stoliarenko,0-0,38-12,0-1,0-0,Catch Weight,KO/TKO-Punches,1,4:15
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Guido Cannetti,Guido Cannetti,Randy Costa,0-0,8-2,1-0,1-0,Bantamweight,SUB-Rear-Naked-Choke,1,1:04
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Cory Sandhagen,Cory Sandhagen,Song Yadong,0-0,94-54,1-2,0-0,Bantamweight,KO/TKO,4,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Gregory Rodrigues,Gregory Rodrigues,Chidi Njokuani,1-0,48-44,1-0,0-0,Middleweight,KO/TKO-Punches,2,1:27
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Andre Fili,Andre Fili,Bill Algeo,0-0,59-81,1-0,2-0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Joe Pyfer,Joe Pyfer,Alen Amedovski,1-0,14-11,0-0,0-0,Middleweight,KO/TKO-Punch,1,3:55
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Rodrigo Nascimento,Rodrigo Nascimento,Tanner Boser,0-0,36-62,3-0,1-0,Heavyweight,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Anthony Hernandez,Anthony Hernandez,Marc-Andre Barriault,0-0,39-25,8-0,2-0,Middleweight,SUB-Arm-Triangle,3,1:53
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Damon Jackson,Damon Jackson,Pat Sabatini,0-0,11-1,1-0,0-0,Featherweight,KO/TKO-Punches,1,1:09
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Trevin Giles,Trevin Giles,Louis Cosce,0-0,25-10,2-1,0-1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Loma Lookboonmee,Loma Lookboonmee,Denise Gomes,0-0,48-19,4-0,0-3,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Trey Ogden,Trey Ogden,Daniel Zellhuber,0-0,71-52,1-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Gillian Robertson,Gillian Robertson,Mariya Agapova,0-0,4-39,3-0,1-1,Women's Flyweight,SUB-Rear-Naked-Choke,2,2:19
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Javid Basharat,Javid Basharat,Tony Gravely,0-0,80-33,2-2,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Nikolas Motta,Nikolas Motta,Cameron VanCamp,1-0,24-15,0-0,0-0,Lightweight,KO/TKO-Punch,1,3:49
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Nate Diaz,Nate Diaz,Tony Ferguson,0-0,101-80,0-1,1-0,Welterweight,SUB-Guillotine-Choke,4,2:52
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Khamzat Chimaev,Khamzat Chimaev,Kevin Holland,0-0,0-0,2-0,2-0,Catch Weight,SUB-D'Arce-Choke,1,2:13
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Daniel Rodriguez,Daniel Rodriguez,Li Jingliang,0-0,88-78,0-1,0-0,Catch Weight,S-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Irene Aldana,Irene Aldana,Macy Chiasson,1-0,37-39,0-3,2-0,Catch Weight,KO/TKO-Kick,3,2:21
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Johnny Walker,Johnny Walker,Ion Cutelaba,0-0,3-3,1-1,3-0,Light Heavyweight,SUB-Rear-Naked-Choke,1,4:37
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Julian Erosa,Julian Erosa,Hakeem Dawodu,0-0,92-74,2-0,0-0,Featherweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Jailton Almeida,Jailton Almeida,Anton Turkalj,0-0,17-1,3-0,2-0,Catch Weight,SUB-Rear-Naked-Choke,1,4:27
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Denis Tiuliulin,Denis Tiuliulin,Jamie Pickett,2-0,73-60,0-0,0-0,Middleweight,KO/TKO-Punches,2,4:52
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Chris Barnett,Chris Barnett,Jake Collier,0-1,54-51,0-1,0-1,Heavyweight,KO/TKO-Punches,2,2:24
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Norma Dumont,Norma Dumont,Danyelle Wolf,1-0,52-20,2-0,0-0,Women's Featherweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Alatengheili,Alatengheili,Chad Anheliger,0-0,49-39,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Elise Reed,Elise Reed,Melissa Martinez,1-0,38-45,3-1,0-0,Women's Strawweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Yohan Lainesse,Yohan Lainesse,Darian Weeks,0-0,23-44,0-1,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Ciryl Gane,Ciryl Gane,Tai Tuivasa,1-1,110-29,0-0,0-0,Heavyweight,KO/TKO-Punches,3,4:23
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Robert Whittaker,Robert Whittaker,Marvin Vettori,0-0,74-33,1-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Nassourdine Imavov,Nassourdine Imavov,Joaquin Buckley,0-0,51-46,2-0,2-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Roman Kopylov,Roman Kopylov,Alessio Di Chirico,1-0,59-39,0-0,0-0,Middleweight,KO/TKO-Punches,3,1:09
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",William Gomis,William Gomis,Jarno Errens,0-0,32-20,3-0,0-1,Featherweight,M-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Nathaniel Wood,Nathaniel Wood,Charles Jourdain,0-0,97-86,5-1,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Abus Magomedov,Abus Magomedov,Dustin Stoltzfus,1-0,7-0,0-0,0-0,Middleweight,KO/TKO-Punches,1,0:19
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Nasrat Haqparast,Nasrat Haqparast,John Makdessi,1-0,64-73,2-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Fares Ziam,Fares Ziam,Michal Figlak,0-0,60-28,3-1,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Benoit Saint Denis,Benoit Saint Denis,Gabriel Miranda,3-0,42-20,1-1,0-0,Lightweight,KO/TKO-Punch,2,0:16
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Cristian Quinonez,Cristian Quinonez,Khalid Taha,0-0,19-6,0-0,0-0,Bantamweight,KO/TKO-Punches,1,3:15
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Stephanie Egger,Stephanie Egger,Ailin Perez,0-0,15-16,2-1,1-0,Women's Featherweight,SUB-Rear-Naked-Choke,2,4:54
UFC 278: Usman vs. Edwards,"August 20, 2022",Leon Edwards,Leon Edwards,Kamaru Usman,1-0,55-83,1-5,1-0,Welterweight,KO/TKO-Kick,5,4:04
UFC 278: Usman vs. Edwards,"August 20, 2022",Paulo Costa,Paulo Costa,Luke Rockhold,0-0,73-51,2-1,0-0,Middleweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Merab Dvalishvili,Merab Dvalishvili,Jose Aldo,0-0,57-38,0-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Lucie Pudilova,Lucie Pudilova,Wu Yanan,0-0,39-26,2-0,1-0,Women's Bantamweight,KO/TKO-Elbows,2,4:04
UFC 278: Usman vs. Edwards,"August 20, 2022",Tyson Pedro,Tyson Pedro,Harry Hunsucker,1-0,6-2,0-0,0-0,Light Heavyweight,KO/TKO-Kick,1,1:05
UFC 278: Usman vs. Edwards,"August 20, 2022",Marcin Tybura,Marcin Tybura,Alexandr Romanov,0-0,47-40,0-2,0-0,Heavyweight,M-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Jared Gordon,Jared Gordon,Leonardo Santos,0-0,116-36,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Draw,Sean Woodson,Luis Saldana,0-2,73-91,0-1,1-0,Featherweight,S-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Ange Loosa,Ange Loosa,AJ Fletcher,0-0,129-87,2-0,0-0,Welterweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Amir Albazi,Amir Albazi,Francisco Figueiredo,0-0,12-11,2-0,1-0,Flyweight,SUB-Rear-Naked-Choke,1,4:34
UFC 278: Usman vs. Edwards,"August 20, 2022",Aoriqileng,Aoriqileng,Jay Perrin,0-0,72-88,0-3,0-0,Bantamweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Victor Altamirano,Victor Altamirano,Daniel Lacerda,1-1,58-22,0-0,0-0,Flyweight,KO/TKO-Punches,1,3:39
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Marlon Vera,Marlon Vera,Dominick Cruz,3-0,61-92,0-2,0-0,Bantamweight,KO/TKO-Kick,4,2:17
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Nate Landwehr,Nate Landwehr,David Onama,0-1,91-71,3-1,2-0,Featherweight,M-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Yazmin Jauregui,Yazmin Jauregui,Iasmin Lucindo,0-0,86-66,0-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Azamat Murzakanov,Azamat Murzakanov,Devin Clark,1-0,79-14,0-0,0-0,Light Heavyweight,KO/TKO-Punch,3,1:18
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Priscila Cachoeira,Priscila Cachoeira,Ariane da Silva,1-0,20-4,0-0,0-0,Women's Bantamweight,KO/TKO-Punches,1,1:05
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Gerald Meerschaert,Gerald Meerschaert,Bruno Silva,1-0,46-29,1-0,1-0,Middleweight,SUB-Guillotine-Choke,3,1:39
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Angela Hill,Angela Hill,Loopy Godinez,0-0,85-92,1-1,0-0,Catch Weight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Martin Buday,Martin Buday,Lukasz Brzeski,0-0,66-118,0-0,0-0,Heavyweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Nina Nunes,Nina Nunes,Cynthia Calvillo,0-0,39-48,0-3,0-0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Gabriel Benitez,Gabriel Benitez,Charlie Ontiveros,0-0,37-22,1-0,0-0,Lightweight,KO/TKO-Punches,1,3:33
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Tyson Nam,Tyson Nam,Ode Osbourne,1-0,13-15,0-0,0-0,Flyweight,KO/TKO-Punch,1,2:59
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Josh Quinlan,Josh Quinlan,Jason Witt,1-0,3-1,0-1,0-0,Catch Weight,KO/TKO-Punch,1,2:09
UFC Fight Night: Vera vs. Cruz,"August 13, 2022",Draw,Youssef Zalal,Da'Mon Blackshear,0-0,63-27,1-1,1-1,Bantamweight,M-DEC,3,5:00
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Jamahal Hill,Jamahal Hill,Thiago Santos,0-0,89-53,0-6,0-0,Light Heavyweight,KO/TKO-Elbows,4,2:31
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Geoff Neal,Geoff Neal,Vicente Luque,2-0,121-97,1-0,0-0,Welterweight,KO/TKO-Punches,3,2:01
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Mohammed Usman,Mohammed Usman,Zac Pauga,1-0,12-32,0-0,0-0,Heavyweight,KO/TKO-Punch,2,0:36
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Juliana Miller,Juliana Miller,Brogan Walker,0-0,54-30,4-0,1-0,Women's Flyweight,KO/TKO-Elbows,3,3:57
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Serghei Spivac,Serghei Spivac,Augusto Sakai,0-0,33-8,6-0,1-0,Heavyweight,KO/TKO-Punches,2,3:42
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Terrance McKinney,Terrance McKinney,Erick Gonzalez,0-0,18-9,1-0,1-0,Lightweight,SUB-Rear-Naked-Choke,1,2:17
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Michal Oleksiejczuk,Michal Oleksiejczuk,Sam Alvey,2-0,22-3,0-0,0-0,Middleweight,KO/TKO-Punch,1,1:56
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Bryan Battle,Bryan Battle,Takashi Sato,1-0,7-2,0-0,0-0,Welterweight,KO/TKO-Kick,1,0:44
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Cory McKenna,Cory McKenna,Miranda Granger,0-0,13-13,3-0,2-0,Women's Strawweight,SUB-Von-Flue-Choke,2,1:03
UFC Fight Night: Santos vs. Hill,"August 06, 2022",Mayra Bueno Silva,Mayra Bueno Silva,Stephanie Egger,0-0,4-8,0-1,1-0,Women's Bantamweight,SUB-Armbar,1,1:17
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Amanda Nunes,Amanda Nunes,Julianna Pena,3-0,85-60,6-0,1-1,Women's Bantamweight,U-DEC,5,5:00
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Brandon Moreno,Brandon Moreno,Kai Kara-France,1-0,58-53,0-1,0-0,Flyweight,KO/TKO-Kick,3,4:34
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Sergei Pavlovich,Sergei Pavlovich,Derrick Lewis,1-0,15-4,0-0,0-0,Heavyweight,KO/TKO-Punches,1,0:55
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Alexandre Pantoja,Alexandre Pantoja,Alex Perez,0-0,8-10,1-0,1-0,Flyweight,SUB-Neck-Crank,1,1:31
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Magomed Ankalaev,Magomed Ankalaev,Anthony Smith,0-0,46-18,0-0,0-0,Light Heavyweight,KO/TKO-Punches,2,3:09
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Alex Morono,Alex Morono,Matthew Semelsberger,0-1,106-74,0-1,0-0,Welterweight,U-DEC,3,5:00
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Drew Dober,Drew Dober,Rafael Alves,1-0,62-37,0-1,0-0,Lightweight,KO/TKO-Punch,3,1:30
UFC 277: Pena vs. Nunes 2,"July 30, 2022",NC,Don'Tale Mayes,Hamdy Abdelwahab,0-1,47-58,0-3,0-0,Heavyweight,Overturned,3,5:00
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Drakkar Klose,Drakkar Klose,Rafa Garcia,0-0,61-34,2-3,0-0,Lightweight,U-DEC,3,5:00
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Michael Morales,Michael Morales,Adam Fugitt,2-0,83-64,0-1,0-0,Welterweight,KO/TKO-Punch,3,1:09
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Joselyne Edwards,Joselyne Edwards,Ji Yeon Kim,0-0,101-78,1-0,0-0,Women's Bantamweight,S-DEC,3,5:00
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Nicolae Negumereanu,Nicolae Negumereanu,Ihor Potieria,0-0,51-38,2-0,0-0,Light Heavyweight,KO/TKO-Knees,2,3:33
UFC 277: Pena vs. Nunes 2,"July 30, 2022",Orion Cosce,Orion Cosce,Blood Diamond,0-0,25-63,3-0,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Curtis Blaydes,Curtis Blaydes,Tom Aspinall,0-0,4-3,0-0,0-0,Heavyweight,KO/TKO,1,0:15
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Jack Hermansson,Jack Hermansson,Chris Curtis,0-0,100-43,0-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Paddy Pimblett,Paddy Pimblett,Jordan Leavitt,0-0,17-16,1-3,4-0,Lightweight,SUB-Rear-Naked-Choke,2,2:46
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Nikita Krylov,Nikita Krylov,Alexander Gustafsson,2-0,26-5,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,1:07
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Molly McCann,Molly McCann,Hannah Goldy,1-0,24-9,0-0,0-0,Women's Flyweight,KO/TKO-Spinning-Back-Elbow,1,3:52
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Volkan Oezdemir,Volkan Oezdemir,Paul Craig,0-0,72-33,1-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Ludovit Klein,Ludovit Klein,Mason Jones,1-0,50-43,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Marc Diakiese,Marc Diakiese,Damir Hadzovic,0-0,13-5,8-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Nathaniel Wood,Nathaniel Wood,Charles Rosa,0-0,97-51,1-2,0-1,Featherweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Jonathan Pearce,Jonathan Pearce,Makwan Amirkhani,0-0,90-11,4-3,0-0,Featherweight,KO/TKO-Punches,2,4:10
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Muhammad Mokaev,Muhammad Mokaev,Charles Johnson,0-0,12-12,12-0,0-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Jai Herbert,Jai Herbert,Kyle Nelson,0-0,36-41,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Victoria Leonardo,Victoria Leonardo,Mandy Bohm,0-0,39-52,2-0,0-1,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Aspinall,"July 23, 2022",Nicolas Dalby,Nicolas Dalby,Claudio Silva,0-0,45-11,1-4,1-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Yair Rodriguez,Yair Rodriguez,Brian Ortega,0-0,23-22,0-1,0-0,Featherweight,KO/TKO,1,4:11
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Amanda Lemos,Amanda Lemos,Michelle Waterson-Gomez,0-0,20-29,0-1,1-0,Women's Strawweight,SUB-Guillotine-Choke,2,1:48
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Li Jingliang,Li Jingliang,Muslim Salikhov,1-0,38-23,1-1,0-0,Welterweight,KO/TKO-Punches,2,4:38
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Matt Schnell,Matt Schnell,Sumudaerji,0-1,47-58,2-0,2-0,Flyweight,SUB-Triangle-Choke,2,4:24
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Shane Burgos,Shane Burgos,Charles Jourdain,0-0,42-113,2-0,3-0,Featherweight,M-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Lauren Murphy,Lauren Murphy,Miesha Tate,0-0,102-85,2-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Punahele Soriano,Punahele Soriano,Dalcha Lungiambula,1-0,17-11,0-2,0-0,Middleweight,KO/TKO-Punch,2,0:28
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Ricky Simon,Ricky Simon,Jack Shore,1-0,25-19,2-0,1-0,Bantamweight,SUB-Arm-Triangle,2,3:28
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Bill Algeo,Bill Algeo,Herbert Burns,0-0,28-10,1-1,0-2,Featherweight,KO/TKO,2,1:50
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Dustin Jacoby,Dustin Jacoby,Da Woon Jung,1-0,14-14,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,3:13
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Dustin Stoltzfus,Dustin Stoltzfus,Dwight Grant,0-0,49-52,2-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Ortega vs. Rodriguez,"July 16, 2022",Emily Ducote,Emily Ducote,Jessica Penne,0-0,116-63,0-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,"July 09, 2022",Rafael Fiziev,Rafael Fiziev,Rafael Dos Anjos,1-0,64-54,0-2,0-0,Lightweight,KO/TKO-Punch,5,0:18
UFC Fight Night: Dos Anjos vs. Fiziev,"July 09, 2022",Caio Borralho,Caio Borralho,Armen Petrosyan,0-0,12-31,4-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,"July 09, 2022",Said Nurmagomedov,Said Nurmagomedov,Douglas Silva de Andrade,0-0,42-28,1-1,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,"July 09, 2022",Chase Sherman,Chase Sherman,Jared Vanderaa,1-0,137-109,0-0,0-0,Heavyweight,KO/TKO-Punches,3,3:10
UFC Fight Night: Dos Anjos vs. Fiziev,"July 09, 2022",Aiemann Zahabi,Aiemann Zahabi,Ricky Turcios,0-0,54-27,0-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Dos Anjos vs. Fiziev,"July 09, 2022",Jamie Mullarkey,Jamie Mullarkey,Michael Johnson,0-1,96-66,0-0,0-0,Lightweight,S-DEC,3,5:00
